Año;Mes;Energia
2020;10;142397
2020;9;135778
2020;8;114465
2020;7;128211
2020;6;96038
2020;5;95389
2020;4;91331
2020;3;131178
2020;2;182567
2020;1;198915
2019;12;177603
2019;11;211055
2019;10;223948
2019;9;211532
2019;8;134089
2019;7;201404
2019;6;215512
2019;5;192328
2019;4;178930
2019;3;187625
2019;2;188038
2019;1;199602
2018;12;173108
2018;11;195742
2018;10;198634
2018;9;223327
2018;8;130258
2018;7;220666
2018;6;214370
2018;5;198579
2018;4;212995
2018;3;209186
2018;2;221435
2018;1;211254
2017;12;193205
2017;11;211766
2017;10;216193
2017;9;218286
2017;8;136845
2017;7;219944
2017;6;252559
2017;5;215853
2017;4;167283
2017;3;223496
2017;2;220703
2017;1;215746
2016;11;218418
2016;10;211082
2016;9;239350
2016;8;118186
2016;6;220143
2016;5;190937
2016;4;203094
2016;3;196377
2016;2;218155
2016;1;188235
2015;11;204761
2015;10;194128
2015;9;206244
2015;8;119971
2015;7;267394
2015;6;216554
2015;5;196361
2015;4;175849
2015;3;188945
2014;12;177668
2014;11;192007
2014;10;210556
2014;9;219979
2014;8;110519
2014;7;218685
2014;6;194842
2014;5;191478
2014;4;172786
2014;3;200357
2014;2;208278
2014;1;199740
